ModelID;Model;MakeID;TypeDefault;LastModelYear
364;Tundra ;113;9;2016
365;Venza;113;3;2016
366;Yaris;113;3;2016
367;Beetle;122;2;2016
368;Cabrio;122;2;2016
369;CC;122;3;2016
370;Eos;122;3;2013
371;Golf;122;3;2016
372;Jetta;122;3;2016
373;Jetta Sedan;122;3;2016
374;Jetta SportWagen;122;5;2016
375;Passat;122;3;2016
376;Routan ;122;6;2016
377;Tiguan;122;4;2016
378;Touareg;122;4;2016
379;C30;123;3;2016
380;C70;123;3;2016
381;S60;123;3;2016
382;S80;123;3;2016
383;V60;123;3;2016
384;V70;123;5;2010
385;XC60;123;4;2016
386;XC70;123;3;2016
387;XC90;123;4;2016
388;Ford E350;126;1;2003
389;Ford E450;126;1;2016
390;Trax;17;3;2017
391;City Express;17;10;2017
